image_url,x,y,width,height,neighborhood,intersection
"https://lh3.googleusercontent.com/d/1vC_uJUS1AqzCHyS3vWKpd9uGjwsJpBYm
",1162,374,22,21,marina,3rd_G
"https://lh3.googleusercontent.com/d/1vC_uJUS1AqzCHyS3vWKpd9uGjwsJpBYm
",1157,911,26,26,marina,3rd_K
"https://lh3.googleusercontent.com/d/1vC_uJUS1AqzCHyS3vWKpd9uGjwsJpBYm
",347,502,24,22,marina,Ketner_Market
"https://lh3.googleusercontent.com/d/1Wu7dtBNPhm5eKWskH7rb2l5Wqx52BPK4
",352,371,25,24,marina,Ketner_G
"https://lh3.googleusercontent.com/d/1Wu7dtBNPhm5eKWskH7rb2l5Wqx52BPK4
",1159,378,26,24,marina,3rd_G
"https://lh3.googleusercontent.com/d/1Wu7dtBNPhm5eKWskH7rb2l5Wqx52BPK4
",1156,915,25,25,marina,3rd_K
"https://lh3.googleusercontent.com/d/1Wu7dtBNPhm5eKWskH7rb2l5Wqx52BPK4
",351,503,24,22,marina,Ketner_Market
"https://lh3.googleusercontent.com/d/1O6Th2H80F2bdevAZq3A1GDe26L9hW7yH
",350,363,25,23,marina,Ketner_G
"https://lh3.googleusercontent.com/d/1O6Th2H80F2bdevAZq3A1GDe26L9hW7yH
",1157,358,25,23,marina,3rd_G
"https://lh3.googleusercontent.com/d/1O6Th2H80F2bdevAZq3A1GDe26L9hW7yH
",1162,896,25,25,marina,3rd_K
"https://lh3.googleusercontent.com/d/1O6Th2H80F2bdevAZq3A1GDe26L9hW7yH
",352,499,21,21,marina,Ketner_Market
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",260,243,48,48,east_village_south,7th_Market
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",1257,261,45,45,east_village_south,16th_Market
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",1247,874,45,46,east_village_south,16th_Imperial
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",246,858,52,53,east_village_south,7th_Imperial
"https://lh3.googleusercontent.com/d/1PHaCjgUX2bB0u30cCskddBxrMf8oZhE2
",378,265,48,48,east_village_south,7th_Market
"https://lh3.googleusercontent.com/d/1PHaCjgUX2bB0u30cCskddBxrMf8oZhE2
",1234,267,45,45,east_village_south,16th_Market
"https://lh3.googleusercontent.com/d/1PHaCjgUX2bB0u30cCskddBxrMf8oZhE2
",1237,791,45,46,east_village_south,16th_Imperial
"https://lh3.googleusercontent.com/d/1PHaCjgUX2bB0u30cCskddBxrMf8oZhE2
",376,788,52,53,east_village_south,7th_Imperial
"https://lh3.googleusercontent.com/d/1dbcUQD56dmT59w5czuQAluToLr0tbCfm
",310,293,48,48,east_village_south,7th_Market
"https://lh3.googleusercontent.com/d/1dbcUQD56dmT59w5czuQAluToLr0tbCfm
",1216,288,45,45,east_village_south,16th_Market
"https://lh3.googleusercontent.com/d/1dbcUQD56dmT59w5czuQAluToLr0tbCfm
",1221,840,45,46,east_village_south,16th_Imperial
"https://lh3.googleusercontent.com/d/1dbcUQD56dmT59w5czuQAluToLr0tbCfm
",312,841,52,53,east_village_south,7th_Imperial
"https://lh3.googleusercontent.com/d/19QxAKljkAaNb03vMPy2oQbkZi9UodHPl
",307,290,48,48,east_village_south,7th_Market
"https://lh3.googleusercontent.com/d/19QxAKljkAaNb03vMPy2oQbkZi9UodHPl
",1215,289,45,45,east_village_south,16th_Market
"https://lh3.googleusercontent.com/d/19QxAKljkAaNb03vMPy2oQbkZi9UodHPl
",1218,842,45,46,east_village_south,16th_Imperial
"https://lh3.googleusercontent.com/d/19QxAKljkAaNb03vMPy2oQbkZi9UodHPl
",308,841,52,53,east_village_south,7th_Imperial
"https://lh3.googleusercontent.com/d/1NGS47HSEkE3TMszHwjLUBR83dxQwgfMX
",315,302,48,48,east_village_south,7th_Market
"https://lh3.googleusercontent.com/d/1NGS47HSEkE3TMszHwjLUBR83dxQwgfMX
",1220,315,45,45,east_village_south,16th_Market
"https://lh3.googleusercontent.com/d/1NGS47HSEkE3TMszHwjLUBR83dxQwgfMX
",1215,867,45,46,east_village_south,16th_Imperial
"https://lh3.googleusercontent.com/d/1NGS47HSEkE3TMszHwjLUBR83dxQwgfMX
",305,856,52,53,east_village_south,7th_Imperial
"https://lh3.googleusercontent.com/d/1GdTyEOVGzB0mTieJgipXLGMz31QoopdD
",310,291,48,48,east_village_south,7th_Market
"https://lh3.googleusercontent.com/d/1GdTyEOVGzB0mTieJgipXLGMz31QoopdD
",1217,293,45,45,east_village_south,16th_Market
"https://lh3.googleusercontent.com/d/1GdTyEOVGzB0mTieJgipXLGMz31QoopdD
",1218,847,45,46,east_village_south,16th_Imperial
"https://lh3.googleusercontent.com/d/1GdTyEOVGzB0mTieJgipXLGMz31QoopdD
",308,843,52,53,east_village_south,7th_Imperial
"https://lh3.googleusercontent.com/d/1DNwUAMpOrTPtox8N377iMPwe9W5GpKdV
",462,76,27,23,Barrio Logan,16th_Logan
"https://lh3.googleusercontent.com/d/1DNwUAMpOrTPtox8N377iMPwe9W5GpKdV
",389,472,30,27,Barrio Logan,Main_Sigsbee
"https://lh3.googleusercontent.com/d/1DNwUAMpOrTPtox8N377iMPwe9W5GpKdV
",1242,726,28,28,Barrio Logan,Logan_Evans
"https://lh3.googleusercontent.com/d/1DNwUAMpOrTPtox8N377iMPwe9W5GpKdV
",1018,999,30,28,Barrio Logan,Main_Evans
"https://lh3.googleusercontent.com/d/10yNBr47tUjYL9oovEDclJzAqEtRfAB1N
",548,116,27,23,Barrio Logan,16th_Logan
"https://lh3.googleusercontent.com/d/10yNBr47tUjYL9oovEDclJzAqEtRfAB1N
",491,460,30,27,Barrio Logan,Main_Sigsbee
"https://lh3.googleusercontent.com/d/10yNBr47tUjYL9oovEDclJzAqEtRfAB1N
",1230,669,28,28,Barrio Logan,Logan_Evans
"https://lh3.googleusercontent.com/d/10yNBr47tUjYL9oovEDclJzAqEtRfAB1N
",1041,904,30,28,Barrio Logan,Main_Evans
"https://lh3.googleusercontent.com/d/1PlkpvZUOkNz34TOZZpNPJAIhRF3F6Y1l
",490,140,27,23,Barrio Logan,16th_Logan
"https://lh3.googleusercontent.com/d/1PlkpvZUOkNz34TOZZpNPJAIhRF3F6Y1l
",431,502,30,27,Barrio Logan,Main_Sigsbee
"https://lh3.googleusercontent.com/d/1PlkpvZUOkNz34TOZZpNPJAIhRF3F6Y1l
",1214,715,30,28,Barrio Logan,Logan_Evans
"https://lh3.googleusercontent.com/d/1PlkpvZUOkNz34TOZZpNPJAIhRF3F6Y1l
",1021,970,30,28,Barrio Logan,Main_Evans
"https://lh3.googleusercontent.com/d/1yfWIaYejo-dyIsk80a75F6Gu-1DDI7_-
",489,142,27,23,Barrio Logan,16th_Logan
"https://lh3.googleusercontent.com/d/1yfWIaYejo-dyIsk80a75F6Gu-1DDI7_-
",430,504,30,27,Barrio Logan,Main_Sigsbee
"https://lh3.googleusercontent.com/d/1yfWIaYejo-dyIsk80a75F6Gu-1DDI7_-
",1211,717,30,28,Barrio Logan,Logan_Evans
"https://lh3.googleusercontent.com/d/1yfWIaYejo-dyIsk80a75F6Gu-1DDI7_-
",1010,969,30,28,Barrio Logan,Main_Evans
"https://lh3.googleusercontent.com/d/1lxzd7V8TxtYAcOhmUdm2u5poPPKD-Xp7
",501,149,27,23,Barrio Logan,16th_Logan
