url,neighborhood,source,dest,matrix
"https://lh3.googleusercontent.com/d/1Mjmoln4DXXbMoR8tYzlYd1gzHYURqmwx
",city_center,"POLYGON ((430.5 1623, 431.5 1387, 1357.5 1389.5, 1358 1623.5, 430.5 1623))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[3.3248150096418554, -0.02464113209475883, 0.0], [0.017621159546251874, 3.216744987485754, 0.0], [6278856.985764764, 1836971.4148974526, 1.0]]"
"https://lh3.googleusercontent.com/d/1NFeamT8L4Ka5GMfa6xO46hqtmtzR6ets
",cortez,"POLYGON ((548.5 1554, 546 1285, 1283.5 1277.5, 1285.5 1547, 548.5 1554))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[3.0409311160253187, 0.011919980366866487, 0.0], [-0.01056754000728688, 2.813692003174765, 0.0], [6278947.3480298, 1839318.0516228334, 0.9999999999999998]]"
"https://lh3.googleusercontent.com/d/1NGS47HSEkE3TMszHwjLUBR83dxQwgfMX
",east_village_south,"POLYGON ((339 1674, 331 1117.5, 1237.5 1110, 1242.5 1662.5, 339 1674))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[3.0039883273662715, 0.0045111775863020875, 0.0], [-0.02825112557002285, 3.425547257068729, 0.0], [6281305.211115732, 1834150.2230799654, 1.0]]"
"https://lh3.googleusercontent.com/d/1N_vIxEUzl3SfFmxQhghvfPTwkievESZw
",gaslamp,"POLYGON ((982.5 1871, 973.5 1152, 1323.5 1149, 1329.5 1869, 982.5 1871))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.5995362292568414, 0.023901623902779546, 0.0], [-0.015973155806022987, 3.728727581043131, 0.0], [6279893.808088414, 1834407.1485244352, 1.0]]"
"https://lh3.googleusercontent.com/d/1O6Th2H80F2bdevAZq3A1GDe26L9hW7yH
",marina,"POLYGON ((362.5 1625.5, 362.5 1490.5, 1174.5 1091.5, 1169.5 1630.5, 362.5 1625.5))","POLYGON ((6278929 1839874.99999984, 6278933 1840277.99999986, 6281151 1840266.99999984, 6281156.999 1838723.99999984, 6278929 1839874.99999984))","[[2.7498596586954087, -0.019320871772713022, 0.0], [0.015281177585166006, 2.8697851597196404, 0.0], [6277910.367048183, 1835612.3724981037, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1PHaCjgUX2bB0u30cCskddBxrMf8oZhE2
",east_village_south,"POLYGON ((402 1711, 402 1185.5, 1259.5 1186, 1256.5 1710.5, 402 1711))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[3.1762572493106327, -0.033240505898831055, 0.0], [0.0164718307523799, 3.6181143627379697, 0.0], [6280971.40576205, 1833706.3673609574, 1.0]]"
"https://lh3.googleusercontent.com/d/1PRopxpn_jNO0zU6WnS2JyKwaWokuuNxP
",marina,"POLYGON ((314.5 1661, 311 1519.5, 1199.5 1053.5, 1208 1652, 314.5 1661))","POLYGON ((6278929 1839874.99999984, 6278933 1840277.99999986, 6281151 1840266.99999984, 6281156.999 1838723.99999984, 6278929 1839874.99999984))","[[2.4830504462779186, 0.0388310356115051, 0.0], [-0.04464382112837484, 2.5918667855912645, 0.0], [6278225.420131899, 1835942.624392095, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1PlkpvZUOkNz34TOZZpNPJAIhRF3F6Y1l
",Barrio Logan,"POLYGON ((446 1484.5, 1036 1016, 1229 1271, 503.5 1848.5, 446 1484.5))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.5227588256323643, -0.07678225158221003, 0.0], [0.026446194793606992, 3.604428029658038, 0.0], [6283187.504511977, 1830865.5549341145, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",Golden Hill,"POLYGON ((251 1613.5, 248.5 1296, 1158 1338, 1152.5 1620.5, 251 1613.5))","POLYGON ((6285851.602057546 1841024.0836843997, 6285845.135206968 1842159.1903380603, 6289136.307430387 1842152.8734215647, 6289139.730979964 1841108.5644865632, 6285851.602057546 1841024.0836843997))","[[3.6329242728418656, -0.0551078630806185, 0.0], [-0.0014163498653942952, 3.628628746179629, 0.0], [6284943.142402297, 1836326.692885815, 0.9999999999999999]]"
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",sherman_heights,"POLYGON ((241.5 1826.5, 231 1141.5, 697 1141, 704.5 1825, 241.5 1826.5))","POLYGON ((6285842.880290225 1838320.4808238894, 6285858.862213641 1840242.7000765651, 6287154.647679806 1840266.7971412241, 6287147.123088554 1838309.2908856422, 6285842.880290225 1838320.4808238894))","[[2.7986967391977124, 0.019861983346205328, 0.0], [-0.019627441685770464, 2.8337033775774216, 0.0], [6285218.806205499, 1835071.712932001, 1.0000000000000002]]"
